datetime,open,high,low,close,volume
2025-11-12T20:00:00+00:00,194.63,205.0,191.2,193.35,21735.867
2025-11-12T21:00:00+00:00,193.71,194.35,193.6,194.02,4771.164
2025-11-12T22:00:00+00:00,194.02,194.46,193.5,193.97,3936.637
2025-11-12T23:00:00+00:00,193.87,193.96,192.05,192.42,5139.786
2025-11-13T00:00:00+00:00,192.42,193.48,192.42,192.66,2355.296
2025-11-13T01:00:00+00:00,192.66,194.17,192.63,193.88,4593.895
2025-11-13T02:00:00+00:00,193.88,194.33,193.02,193.7,2148.576
2025-11-13T03:00:00+00:00,193.72,194.0,193.2,193.68,1531.619
2025-11-13T04:00:00+00:00,193.68,194.5,192.61,193.72,1419.253
2025-11-13T05:00:00+00:00,193.63,195.39,193.63,195.24,1982.913
2025-11-13T06:00:00+00:00,195.24,195.24,193.41,194.01,3318.175
2025-11-13T07:00:00+00:00,194.01,194.01,193.4,193.85,2001.473
2025-11-13T08:00:00+00:00,193.56,193.83,193.4,193.75,1645.356
2025-11-13T09:00:00+00:00,193.75,193.76,191.87,192.45,2551.171
2025-11-13T10:00:00+00:00,192.59,193.24,192.42,192.94,3147.007
2025-11-13T11:00:00+00:00,192.87,193.23,192.25,192.42,3430.422
2025-11-13T12:00:00+00:00,192.42,192.83,192.41,192.49,2466.869
2025-11-13T13:00:00+00:00,192.45,192.55,191.13,191.13,4239.742
2025-11-13T14:00:00+00:00,191.14,191.92,186.91,188.69,13754.299
2025-11-13T15:00:00+00:00,188.69,191.65,185.75,186.35,9233.02
2025-11-13T16:00:00+00:00,186.35,186.96,185.5,185.8,5831.037
2025-11-13T17:00:00+00:00,185.86,187.37,185.72,185.72,4389.774
2025-11-13T18:00:00+00:00,185.73,186.08,183.89,184.72,6183.636
2025-11-13T19:00:00+00:00,184.74,186.44,183.98,185.6,3040.077
2025-11-13T20:00:00+00:00,185.6,187.0,184.83,186.81,7126.632
2025-11-13T21:00:00+00:00,186.81,187.53,186.81,186.96,2950.286
2025-11-13T22:00:00+00:00,186.95,186.96,186.09,186.21,8637.825
2025-11-13T23:00:00+00:00,186.21,190.0,186.21,186.96,5390.158
2025-11-14T00:00:00+00:00,186.96,186.96,186.55,186.56,841.188
2025-11-14T01:00:00+00:00,186.55,186.69,186.32,186.55,1333.098
2025-11-14T02:00:00+00:00,186.54,186.55,186.4,186.41,856.585
2025-11-14T03:00:00+00:00,186.41,186.55,186.18,186.52,1573.642
2025-11-14T04:00:00+00:00,186.52,186.52,181.64,184.03,3575.972
2025-11-14T05:00:00+00:00,184.04,185.94,183.16,185.93,1793.303
2025-11-14T06:00:00+00:00,185.93,186.35,185.7,185.92,1991.862
2025-11-14T07:00:00+00:00,185.92,185.93,184.6,185.79,1617.473
2025-11-14T08:00:00+00:00,185.38,185.38,184.1,184.64,599.322
2025-11-14T09:00:00+00:00,184.63,185.1,183.6,184.28,1130.59
2025-11-14T10:00:00+00:00,184.28,184.88,184.12,184.42,634.807
2025-11-14T11:00:00+00:00,184.42,184.5,182.0,182.81,3375.785
2025-11-14T12:00:00+00:00,182.8,182.85,177.15,180.84,4894.438
2025-11-14T13:00:00+00:00,180.87,182.34,178.88,181.25,3181.948
2025-11-14T14:00:00+00:00,181.25,187.66,180.77,186.91,11619.328
2025-11-14T15:00:00+00:00,186.92,189.31,185.71,188.46,14787.927
2025-11-14T16:00:00+00:00,188.47,190.59,187.48,189.95,7316.321
2025-11-14T17:00:00+00:00,189.95,190.4,188.89,189.33,6428.419
2025-11-14T18:00:00+00:00,189.33,189.74,188.42,189.35,5143.447
2025-11-14T19:00:00+00:00,189.36,191.52,188.69,190.71,6482.012
2025-11-14T20:00:00+00:00,190.72,190.76,189.42,190.04,4029.961
2025-11-14T21:00:00+00:00,190.03,190.45,189.83,189.94,1532.101
2025-11-14T22:00:00+00:00,189.89,190.13,189.89,190.13,1209.217
2025-11-14T23:00:00+00:00,190.12,190.8,190.05,190.8,940.746
2025-11-15T00:00:00+00:00,190.84,190.98,190.83,190.98,540.565
2025-11-15T01:00:00+00:00,190.98,191.1,190.79,191.07,1529.5
2025-11-15T02:00:00+00:00,191.05,191.07,190.6,191.0,377.722
2025-11-15T03:00:00+00:00,190.97,191.04,190.97,191.04,143.403
2025-11-15T04:00:00+00:00,191.02,191.04,191.02,191.02,115.81
2025-11-15T05:00:00+00:00,191.02,191.03,191.02,191.03,220.683
2025-11-15T06:00:00+00:00,191.02,191.27,191.02,191.14,649.295
2025-11-15T07:00:00+00:00,191.04,191.16,191.04,191.06,541.999
2025-11-15T08:00:00+00:00,191.05,191.89,191.05,191.32,1354.964
2025-11-15T09:00:00+00:00,191.32,191.9,191.05,191.16,844.318
2025-11-15T10:00:00+00:00,191.16,191.27,191.05,191.23,745.536
2025-11-15T11:00:00+00:00,191.22,191.31,191.05,191.22,1937.987
2025-11-15T12:00:00+00:00,191.22,191.27,191.21,191.27,472.399
2025-11-15T13:00:00+00:00,191.26,192.42,191.21,191.23,2740.712
2025-11-15T14:00:00+00:00,191.23,192.42,191.22,191.64,1575.598
